Sample_ID;Sample;Geological unit;Deposit;Nature;Zone;Na_pct;Al_pct;Si_pct;Mg_pct;Ca_pct;K_pct;Ti_pct;Fe_pct;Mn_pct;Ni_pct;Cr_pct;Li_ppm;Na_ppm;Mg_ppm;Al_ppm;Si_ppm;Si_ppm;P_ppm;K_ppm;Ca42_ppm;Ca44_ppm;Sc_ppm;Ti_ppm;V_ppm;Cr_ppm;Mn_ppm;Fe_ppm;Co_ppm;Ni_ppm;Cu_ppm;Zn_ppm;Ga_ppm;As_ppm;Se_ppm;Rb_ppm;Sr_ppm;Y_ppm;Zr_ppm;Nb_ppm;Mo_ppm;Cd_ppm;Sn_ppm;Cs_ppm;Ba_ppm;La_ppm;Ce_ppm;Pr_ppm;Nd_ppm;Sm_ppm;Eu_ppm;Gd_ppm;Tb_ppm;Dy_ppm;Ho_ppm;Er_ppm;Tm_ppm;Yb_ppm;Lu_ppm;Hf_ppm;Ta_ppm;W_ppm;Pb_ppm;Th_ppm;U_ppm
B6_mag_2_1;B6;X1;X1;Hydrothermal;Hydrothermal;0.012166504;0.00984405;0.002617664;0.00235209;0.0114352;0.009048744;0.202574429;71.12293223;0.057619824;;0.01635238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTO19_mag_4_1;PTO19;Francisco deposit (volcaniclastic);Francisco deposit;Hydrothermal;Hydrothermal;0.070402514;0.04583305;0.013228552;0.01966106;0.01486576;0.017516376;0.964851394;67.0520043;0.05072713;0.00746548;0.33443696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTO19_mag_5_1;PTO19;Francisco deposit (volcaniclastic);Francisco deposit;Hydrothermal;Hydrothermal;0.022849288;0.022175575;0.028560584;0.00174899;0.02115512;0.001743336;0.654005459;67.73121777;0.073031578;;0.42399874;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTO19_mag_7_1;PTO19;Francisco deposit (volcaniclastic);Francisco deposit;Hydrothermal;Hydrothermal;0.061871124;0.2692824;0.329358224;0.03099934;0.04509757;0.023825592;0.027877215;64.94145218;0.27183546;0.006522472;3.3772112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTO19_mag_9_1;PTO19;Francisco deposit (volcaniclastic);Francisco deposit;Hydrothermal;Hydrothermal;0.020846266;0.01238445;0.158602392;0.00349798;0.02723007;0.01826352;;70.852817;0.028887358;0.023653784;0.0372889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTO19_mag_10_1;PTO19;Francisco deposit (volcaniclastic);Francisco deposit;Hydrothermal;Hydrothermal;0.010089296;0.0052925;0.018043184;0.00229178;;;0.235187773;67.70906444;0.126546764;;0.3790468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTO19_mag_13_1;PTO19;Francisco deposit (volcaniclastic);Francisco deposit;Hydrothermal;Hydrothermal;0.03486742;0.029796775;0.036039624;0.01043363;0.00943404;0.075876624;0.569354647;67.04889506;0.319000074;0.020117504;0.17330786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTO19_mag_15_1;PTO19;Francisco deposit (volcaniclastic);Francisco deposit;Hydrothermal;Hydrothermal;0.028116494;0.08309225;0.34169864;0.00229178;0.0014294;0.104932224;0.052696929;70.06889987;0.055296444;0.015245296;0.01799446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTO19_mag_17_1;PTO19;Francisco deposit (volcaniclastic);Francisco deposit;Hydrothermal;Hydrothermal;0.04302788;;0.171456992;;;0.073967256;0.034232021;70.04262679;0.032062644;;0.01498398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTO19_mag_19_1;PTO19;Francisco deposit (volcaniclastic);Francisco deposit;Hydrothermal;Hydrothermal;0.033606258;0.0218051;0.185012752;0.00084434;0.02530038;0.023991624;0.009052601;70.13124013;0.035470268;0.019803168;0.0304469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT-2_mag_1_1;GT-2;Pé Quente deposit;Pé Quente deposit;Transitional;Unaltered;0.019139988;0.049802425;0.021922936;0.01682649;0.03609235;;0.369118307;71.24341528;0.016341106;0.00432212;0.06992524;12.22;1230.87;3839.52;5936.72;2787.19;11300.36;563.39;243.92;7580.11;6608.7;3.04;5231.28;1399.19;735.11;703.24;712435.13;36.18;40.66;240.87;585.82;7.39;2.04;13.43;0.415;7.51;1.23;3.48;0.35;35.68;6.74;18.95;0.17;8.4;7.42;9;0.99;5.7;1.79;0.44;1.485;0.0925;1.18;0.215;0.385;0.27;1.145;0.21;1.015;0.265;1.575;1.35;0.69;0.25
GT-2_mag_1_2;GT-2;Pé Quente deposit;Pé Quente deposit;Transitional;Unaltered;0.006157438;0.2195329;0.011405536;;;;0.042325406;71.68959122;0.01122967;;0.00362626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT-2_mag_2_1;GT-2;Pé Quente deposit;Pé Quente deposit;Transitional;Unaltered;0.002670696;0.575241825;0.006403928;0.00934805;0.01136373;;2.023646005;67.6036612;0.015411754;0.019488832;0.18966024;3.58;913.25;957.48;3738.62;18326.95;4268.245;65.765;108.33;1464.99;1101.77;4.42;3081.01;2374.21;1762.89;278.71;676037.5;34.06;147.97;8.18;3232.01;4.73;1.62;9.64;0.32;3.97;0.11;2.06;0.102;0.96;3.055;9.43;0.095;13.74;0.125;0.17;0.155;0.805;0.92;0.205;1.035;0.13;0.945;0.135;0.495;0.171;0.84;0.145;0.705;0.31;0.76;0.96;;
GT-2_mag_3_1;GT-2;Pé Quente deposit;Pé Quente deposit;Transitional;Unaltered;;0.083568575;0.010564144;;0.01508017;;0.052996684;71.80377806;0.031985198;;0.00930512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT-2_mag_4_1;GT-2;Pé Quente deposit;Pé Quente deposit;Transitional;Unaltered;0.017136966;0.047262025;0.005796256;;0.00843346;;0.022002017;71.69899667;0.030668616;;0.0092367;10.13;249.85;2082.59;3102.72;7675.63;8902.56;107.48;61.93;584.08;453.44;0.405;276;1339.12;114.96;295.42;716990.94;35.95;24.19;5.7;353.25;3.35;1.68;11.07;0.265;1.9;0.111;0.48;0.1115;0.965;3.565;6.8;0.1;4.67;0.15;0.38;0.13;1.395;0.95;0.25;0.57;0.13;0.79;0.12;0.59;0.0985;0.655;0.13;0.39;0.185;0.725;1.3;0.0865;
GT-2_mag_5_1;GT-2;Pé Quente deposit;Pé Quente deposit;Transitional;Unaltered;;0.170577275;0.00560928;;;;1.194403773;70.19054888;0.052818172;0.01257344;;0.65;376.32;295.75;1641.88;6719.31;8188.24;47.66;53.08;3913.15;2899.94;0.88;5687.29;1260.34;18.51;259.72;701906.44;31.31;27.95;2.56;727.39;2.73;1.23;10.295;0.25;2.5;1.04;1.31;0.63;0.68;4.13;9.37;0.11;5.09;1.33;1.58;0.48;1.085;1.125;0.245;0.73;0.0635;0.66;0.18;0.545;0.125;0.455;0.145;0.435;0.16;0.565;2.33;0.2;0.77
PGD-01_mag_1_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;;0.010955475;0.01145228;0.00621193;0.00171528;;0.005815247;71.69954079;0.032604766;;0.0246312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGD-01_mag_2_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;;0.04625645;0.001729528;0.00826247;0.00886228;;0.302272942;70.52393714;0.281051534;0.029390416;0.02853114;0.805;196.39;86.4;2276.68;2369.98;4195.54;41.375;55.48;583.785;149.865;2.32;1192.7;1682.93;287.09;1262.82;705240.13;20.08;21.33;1.04;973.76;9.42;1.63;8.285;0.3;0.37;0.135;0.155;0.1025;0.74;5.57;1.54;0.17;3.27;0.165;0.175;0.11;1.96;1.13;0.35;1.47;0.125;1.045;0.155;0.435;0.14;0.62;0.175;0.685;0.0705;0.74;3.24;;
PGD-01_mag_2_2;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;;0.00391645;0.02126852;0.00385984;0.02122659;;0.010671278;71.72985588;0.041898286;0.001650264;0.00779988;0.86;1846.49;448.95;592.42;13450.38;4641.54;43.44;468.8;659.555;1363.71;0.51;229.09;1392.94;236.09;428.25;717299.38;18.24;14.48;3.05;96.25;6.94;1.875;8.68;0.41;5.98;0.165;2.35;0.18;1.115;4.055;49.62;0.21;16.74;0.19;0.6;0.145;2.125;1.5;0.235;0.665;0.17;0.91;0.215;0.435;0.16;0.825;0.22;0.645;0.23;0.74;1.285;0.1;
PGD-01_mag_3_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;0.023962078;0.06351;0.016407144;0.01797238;0.0064323;;0.009052601;71.67497779;0.049797778;;0.01621554;0.745;553.95;345.8;956.99;11099.62;3733.93;39.54;318.25;1178.56;394.94;0.375;239.05;1241.9;125.58;661.21;716750.63;18.34;17.45;6.07;602.01;7.19;1.39;7.43;5.75;2.1;0.98;0.33;0.0805;0.79;3.745;11.67;0.28;11.27;0.2;0.14;0.17;1.98;1.26;0.31;0.685;0.12;0.855;0.18;0.78;0.17;0.695;0.11;0.47;0.12;0.62;4.91;0.063;0.119
PGD-01_mag_4_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;0.028784168;0.02593325;0.00888136;;0.03752175;0.00332064;;71.7181185;0.042130624;;;0.81;197.13;73.36;478.55;2739.145;4941.31;1088.33;109.91;3450.4;3531.66;0.51;299.07;1244.75;81.02;404.09;717182.13;20.81;15.61;6.68;238.92;5.11;1.285;13.28;1.54;2.68;7.97;5.18;2.47;0.98;5.31;6.29;0.18;1.685;14.26;37.33;4.05;15.44;1.405;0.34;2.44;0.245;1.33;0.255;0.675;0.46;1.295;0.19;0.545;0.22;0.87;4.77;4.86;4.13
PGD-01_mag_5_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;;0.022598975;0.017388768;;0.0007147;;;71.62398625;0.039574906;;0.0253154;0.625;269.99;62.76;475.02;4294.61;3177.825;34.87;58.12;970.63;336.36;1.13;168.97;1039.22;142.57;431.33;716240.69;21.1;16.88;0.745;449.01;4.75;1.45;15.09;0.28;0.45;0.0875;0.23;0.059;0.51;2.27;6.71;0.14;0.96;0.145;0.16;0.1245;3.02;1.74;0.25;0.825;0.0735;0.755;0.0945;0.355;0.0885;0.36;0.115;1.56;0.145;0.585;0.99;0.045;
PGD-01_mag_6_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;0.024629752;0.0209583;;0.00560883;0.00150087;0.002822544;;72.07840168;0.031907752;;0.01861024;0.815;1662.79;432.52;831.59;9078.1;4238.5;41.585;106.53;607.615;1115.99;2.16;299.93;1120.42;166.65;640.76;720784.88;18.93;16.64;0.975;532.82;6.61;1.265;12.1;0.38;3.64;0.081;1.91;0.122;0.905;3.33;46.19;0.155;11.39;0.25;0.165;0.155;0.99;1.265;0.495;0.955;0.17;1.105;0.18;0.465;0.17;0.985;0.145;0.66;0.156;0.66;1.38;0.1115;
PGD-01_mag_7_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;0.014317898;0.55624175;0.017435512;0.0114589;0.00300174;0.005313024;0.086149587;70.14966238;0.121822558;;0.03537314;0.625;184.94;113.95;959.84;1781.01;3272.465;33.12;11.845;457.65;118.865;4.94;438.97;1328.4;293.52;598.65;701497.5;17.62;17.29;0.84;1443.71;6.65;1.64;10.085;0.275;0.99;0.072;0.53;0.108;0.53;2.705;10.66;0.0695;1.235;0.13;0.2;0.13;0.82;0.69;0.285;1;0.135;0.74;0.165;0.485;0.109;0.54;0.17;0.645;0.135;0.615;1.055;;
PGD-01_mag_7_2;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;0.016469292;0.01259615;;;0.00814758;;0.012949416;71.14430825;0.053670078;;0.01518924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGD-01_mag_9_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;0.00890232;0.006827325;0.008741128;0.00735782;0.02022601;;;71.65842109;0.044066774;0.011237512;0.03106268;0.51;107.9;14.955;259.47;5215.04;2844;27.67;10.64;409.215;102.905;0.31;106.75;886.89;181.71;318.87;716585.19;15.42;13.04;0.44;175.3;4.13;1.255;9.15;0.26;0.55;0.183;0.16;0.1025;0.695;1.515;6.1;0.096;0.72;0.115;0.17;0.107;1.195;1.01;0.165;1.16;0.095;0.71;0.125;0.265;0.145;0.53;0.12;0.66;0.11;0.84;0.625;0.05;0.048
PGD-01_mag_10_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;;0.07631785;0.006731136;0.00765937;0.03880821;0.004316832;;72.00782193;0.03291455;0.019488832;0.02572592;1.73;5430.44;1973.86;2501.14;23671.43;30388.15;47.22;867.35;3792.21;4191.28;0.445;183.08;1199.09;156.85;327.47;720079.19;18.1;17.98;7.74;585.92;6.98;1.44;9.51;22.21;12.94;4.18;11.09;0.62;0.745;4.925;24.4;0.155;38.52;2.64;2.5;0.34;1.75;1.21;0.41;0.995;0.1105;1.235;0.165;0.605;0.195;0.77;0.31;0.535;0.18;0.785;16.37;1.49;2.77
PGD-01_mag_11_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;;0.017200625;0.00911508;;0.01136373;;;71.71057859;0.027183546;0.016816976;0.02948902;0.73;220.52;117.64;583.59;2165.485;4052.65;42.295;125.09;567.78;313.1;0.44;246.74;1016.22;144.17;452.54;717106.75;16;19.61;0.795;441.99;5.43;1.13;14.675;0.91;0.3;0.081;0.33;0.105;0.62;2.375;1.185;0.0935;1.77;1.72;1.68;0.14;1.12;1.345;0.395;0.86;0.13;0.84;0.11;0.48;0.17;1.115;0.185;0.595;0.155;0.925;0.98;5.14;0.039
PGD-01_mag_13_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;0.009569994;0.00984405;0.00654416;;0.00564613;;;71.55084138;0.023311246;0.000314336;0.02175756;1.81;924.53;944.58;1420.01;20783.19;4526.625;99.82;128.13;645.94;890.71;0.505;424.24;1024.31;217.29;464.11;715509.44;10.97;17.29;4.15;410.08;6.25;1.94;17.2;0.37;3.8;0.53;0.71;0.12;0.81;2.725;28.73;0.185;10;0.23;0.92;0.175;1.275;0.77;0.34;1.1;0.19;0.835;0.205;0.39;0.245;0.95;0.215;0.965;0.235;0.965;1.375;;0.117
PGD-01_mag_12_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;0.011647202;0.0222285;0.011405536;;;;0.012289955;71.35457061;0.04375699;0.015795384;0.01053668;0.615;303.38;81.76;276.3;8463.27;3383.965;37.5;87.34;476.83;124.645;0.345;185.27;879.3;127.27;381.47;713546.75;13.98;22.04;1.71;70.28;9.25;1.315;10.215;0.28;0.78;0.1055;0.69;0.086;0.51;2.765;2.39;0.145;1.125;0.145;0.165;0.135;0.92;0.78;0.175;0.865;0.165;0.49;0.145;0.655;0.155;0.805;0.17;0.49;0.14;0.98;0.57;;
RA69_mag_2_1;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.055787872;0.443776125;0.043658896;0.00633255;0.0664671;;3.91360128;61.92859862;0.062189138;;0.0112893;5.54;65663.61;4474.81;5977.71;199259.55;163569.05;99.5;1144.03;37607.72;42809.89;11.27;44315.83;382.04;17.44;632.32;619286.94;6.93;11.34;6.54;4496.33;22.32;1.895;12.245;4.86;45.45;3;49.25;10.1;7.07;2.675;33.83;0.29;55.02;8.4;10.36;1.09;2.15;1.455;0.35;1.445;0.22;3.11;0.285;0.62;0.205;1.14;0.21;1.9;0.56;2.99;62.2;0.27;1.1
RA69_mag_3_1;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.144069212;0.4979184;0.078436432;;0.05617542;0.016354152;4.557415069;61.14188317;0.106255912;0.003614864;0.00916828;1.94;22455.37;1664.53;5027.45;87576.55;79848.8;267.52;625.03;19470.66;20630.21;12.75;48305.28;852.33;98.76;1106.43;611419.81;7.98;27.5;7.39;5943.05;21.38;2.22;15.205;2.02;30.18;9.08;35.49;24.24;5.71;4.565;30.66;0.18;46.9;64.62;90.98;10.51;30.21;5.48;0.75;1.51;0.275;3.11;0.54;1.74;0.22;1.71;0.205;0.805;0.82;1.105;756.76;1.1;7.71
RA69_mag_3_2;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.143846654;0.32527705;0.04627656;0.00084434;0.04273906;0.013033512;4.300525034;61.25218346;0.089295238;0.014066536;;2.8;19110.13;2288.38;1943.56;74563;77895.75;87.83;476.02;16671.92;17057.25;5.43;13210.5;196.81;79.92;792.33;612522.81;7.69;13.09;0.9;1121.25;9.6;2.1;14.91;2.04;50.21;6.8;41.25;8.8;2.85;3.705;17.31;0.125;64.11;10.73;14.97;2.14;7.29;1.315;0.42;1.115;0.21;1.22;0.56;0.705;0.3;0.9;0.145;0.615;0.13;1.9;139.09;1.84;1.06
RA69_mag_4_1;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.069512282;0.332951175;0.047865856;;0.03466295;0.00954684;4.641286518;61.82350631;0.077523446;;0.00800514;1.58;2111.21;169.17;5419.1;12254.96;4723.91;83.91;131.93;2409.32;1728.98;11.29;50502.86;961.39;62.09;918.25;618236;8.67;32.8;3.9;6664.72;23.45;1.985;13.14;0.32;8.04;2.39;14.95;24.09;9.1;3.22;30.99;0.18;16.06;17.84;28.59;3.06;11.84;0.93;0.385;1.22;0.175;2.11;0.215;0.46;0.235;0.775;0.225;0.5;0.7;1.28;264.7;;4.37
RA69_mag_4_2;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.273227038;0.667331325;0.897858752;0.44098672;0.06282213;0.024572736;0.7673728;62.76063125;0.24240598;;0.00834724;16.25;3466.13;2892.36;6374.85;15497.99;13658.86;65.905;193.29;3363.55;2587;7.36;33103.44;447.08;49.32;1423.6;627607.31;8.64;15.15;5.04;4100.25;20.39;1.39;15.015;0.255;22.22;3.4;12.24;21.12;6.28;3.29;21.14;0.1085;23.55;14.25;14.77;2.39;8.35;0.805;0.305;1.87;0.5;1.32;0.27;0.395;0.175;0.665;0.19;0.47;0.58;0.64;193.29;0.19;1.51
RA69_mag_5_1;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.093400174;0.3584081;0.045996096;0.00458356;0.04102378;;4.42738135;62.06983585;0.103932532;0.0019646;0.00882618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
